30.10489,62.35742,"S","[10057]"
23.75275,64.19853,"N","[10058]"
30.03394,62.43583,"NW","[10059]"
30.04125,62.43433,"SO","[10060]"
23.34319,63.86675,"SW","[10061-]"
27.35569,61.70328,"W","[10063]"
27.07469,61.64025,"NO","[10064]"
27.13928,61.65367,"NO","[10065]"
27.50692,61.73061,"NO","[10066]"
23.78056,64.21281,"SW","[10067]"
27.50964,61.73247,"SW","[10068]"
27.09094,61.64372,"W","[10069]"
27.15375,61.65436,"W","[10070]"
23.81322,64.22847,"NO","[10071]"
21.65953,61.17903,"SW","[10074]"
22.59333,62.72881,"NO","[10075]"
27.64367,63.11328,"N","[10076]"
21.58786,60.98478,"SO","[10077]"
21.58794,60.98481,"NW","[10078]"
21.75669,61.48097,"S","[10080]"
21.98550,61.36728,"NW","[10084]"
21.61581,61.53936,"NW","[10086]"
21.92894,60.73733,"SO","[10092]"
23.76975,61.49456,"S","[10093]"
21.75825,60.85142,"NW","[10094]"
21.69231,60.87531,"SO","[10095]"
22.74464,62.79178,"W","[10097]"
22.74444,62.79164,"O","[10098]"
27.64736,63.08431,"N","[10101]"
26.89706,60.88797,"O","[10105-]"
27.69406,63.08200,"W","[10106]"
27.59506,63.07772,"S","[10107]"
26.60900,60.87336,"W","[10113]"
23.01764,62.01108,"N","[10115-]"
26.10667,60.92369,"W","[10117]"
27.41675,63.34525,"N","[10118]"
27.41367,63.35583,"S","[10123]"
27.39442,63.37747,"[10124]","[10124]"
22.97981,62.17006,"N","[10125]"
23.04483,62.09144,"N","[10126]"
23.14908,61.70722,"S","[10127]"
23.54942,61.55778,"NW","[10128]"
23.18806,61.64472,"S","[10129]"
22.95744,61.86283,"NO","[10130]"
23.00533,61.98106,"N","[10131]"
22.96333,61.80806,"NW","[10132]"
22.93289,62.24222,"S","[10133]"
23.04500,61.75644,"W","[10134]"
23.01644,62.11217,"SO","[10135]"
23.13200,61.72944,"N","[10136]"
23.20547,61.63136,"NW","[10138]"
23.34789,61.60822,"O","[10139]"
23.46897,61.57856,"W","[10140]"
27.45189,61.71119,"NO","[10141]"
22.97592,61.91217,"S","[10142]"
22.93092,61.84897,"S","[10143]"
23.02022,61.76500,"SO","[10144]"
26.75733,60.90981,"NO","[10149]"
26.30639,61.38167,"NO","[10151]"
22.02594,62.97206,"NW","[10152]"
26.31558,61.38525,"SW","[10153]"
26.35425,60.88892,"O","[10154]"
26.35344,60.88914,"W","[10155]"
26.56242,60.86619,"[10156]","[10156]"
23.02839,62.03528,"SW","[10158]"
22.98722,63.71139,"S","[10159]"
23.14697,63.83072,"O","[10161]"
23.33925,63.86439,"NO","[10162]"
24.47156,64.66183,"NO","[10163]"
24.59644,64.68783,"W","[10164]"
26.73117,60.88428,"bs","[10167]"
21.65006,61.35864,"N","[10174]"
26.93144,60.90453,"W","[10178]"
26.58822,60.86703,"bs","[10181]"
26.83772,60.88622,"bs","[10182]"
26.17869,60.91331,"O","[10187]"
26.08225,60.92858,"O","[10192-]"
23.76922,61.49519,"S","[10195]"
24.64500,60.32650,"SO","[11859-]"
27.22497,63.62472,"N","[14202]"
27.27064,63.49497,"S","[14203]"
27.28181,63.48992,"NW","[14205]"
27.31222,63.46106,"S","[14220]"
27.31683,63.45492,"N","[14256]"
27.32942,63.42614,"S","[14270]"
27.35619,63.41011,"NW","[14315]"
27.44886,63.30914,"S","[14347]"
21.70286,61.50569,"NW","[14377]"
27.47847,63.25233,"S","[14431]"
27.48083,63.25028,"N","[14510]"
27.53747,63.20219,"S","[14511]"
27.54078,63.19450,"N","[14512]"
27.60156,63.15000,"S","[14519]"
27.60589,63.14747,"N","[14520]"
26.95236,61.01478,"SW","[14525]"
27.06658,61.08886,"N","[14526]"
27.07353,61.09314,"SW","[14527]"
25.73494,62.23253,"N","[15331]"
25.83539,60.94917,"W","[15781]"
23.76639,61.48633,"[15788]","[15788]"
